,0,1,2,3,4,sum,diff
30111711,-9.98,-6.32,-5.85,-4.81,237.0,210.04,0.0
30163707,-9.98,-5.58,-5.4,31.0,200.0,210.04,0.0
30188567,-9.98,-5.4,-4.53,-4.05,234.0,210.04,0.0
30444866,-9.98,2.07,20.0,31.0,166.95,210.04,0.0
30513288,-9.21,-8.0,-6.9,-5.85,240.0,210.04,0.0
30515817,-9.21,-8.0,-6.48,-0.27,234.0,210.04,0.0
30549019,-9.21,-6.9,-6.32,-4.53,237.0,210.04,0.0
30550590,-9.21,-6.9,-5.85,-2.0,234.0,210.04,0.0
30633463,-9.21,-6.32,-5.85,-5.58,237.0,210.04,0.0
30776181,-9.21,-4.53,-1.22,20.0,205.0,210.04,0.0
30776227,-9.21,-4.53,-1.22,25.0,200.0,210.04,0.0
30817537,-9.21,-2.82,2.07,20.0,200.0,210.04,0.0
30870392,-9.21,-1.22,-0.49,15.96,205.0,210.04,0.0
31003087,-8.4,-8.0,-6.48,-1.08,234.0,210.04,0.0
31348576,-8.4,-1.51,3.99,15.96,200.0,210.04,0.0
31488553,-8.0,-6.9,-6.48,-5.58,237.0,210.04,0.0
31602607,-8.0,-5.85,-5.58,-4.53,234.0,210.04,0.0
31782633,-8.0,-1.84,-1.08,15.96,205.0,210.04,0.0
31974361,-6.9,-6.4,-5.85,-4.81,234.0,210.04,0.0
32206092,-6.9,-1.84,-1.22,20.0,200.0,210.04,0.0
32338107,-6.9,3.0,23.94,40.0,150.0,210.04,0.0
32350499,-6.9,18.0,23.94,25.0,150.0,210.04,0.0
32455447,-6.48,-5.58,-1.84,23.94,200.0,210.04,0.0
32459099,-6.48,-5.58,-0.85,56.0,166.95,210.04,0.0
32480209,-6.48,-5.4,-1.08,18.0,205.0,210.04,0.0
32561824,-6.48,-4.05,-0.39,15.96,205.0,210.04,0.0
32622141,-6.48,-1.51,2.07,15.96,200.0,210.04,0.0
32672392,-6.48,-0.83,-0.65,18.0,200.0,210.04,0.0
32672579,-6.48,-0.83,-0.65,68.0,150.0,210.04,0.0
32991766,-6.4,-1.51,20.0,31.0,166.95,210.04,0.0
33162802,-6.32,-5.58,-2.0,23.94,200.0,210.04,0.0
33256951,-6.32,-4.53,23.94,30.0,166.95,210.04,0.0
33380071,-6.32,-0.83,-0.81,18.0,200.0,210.04,0.0
33380258,-6.32,-0.83,-0.81,68.0,150.0,210.04,0.0
33551228,-5.85,-4.7,-0.37,15.96,205.0,210.04,0.0
33567968,-5.85,-4.53,-0.54,15.96,205.0,210.04,0.0
33633054,-5.85,-1.84,-0.27,18.0,200.0,210.04,0.0
33633241,-5.85,-1.84,-0.27,68.0,150.0,210.04,0.0
33859497,-5.58,-4.53,-0.81,15.96,205.0,210.04,0.0
33923699,-5.58,-1.84,-0.54,18.0,200.0,210.04,0.0
33923886,-5.58,-1.84,-0.54,68.0,150.0,210.04,0.0
34041921,-5.58,-0.27,23.94,25.0,166.95,210.04,0.0
34211666,-5.4,-1.51,10.0,40.0,166.95,210.04,0.0
34212601,-5.4,-1.51,20.0,30.0,166.95,210.04,0.0
34504083,-4.81,-0.84,-0.27,15.96,200.0,210.04,0.0
34724007,-4.7,-0.85,-0.37,15.96,200.0,210.04,0.0
34727617,-4.7,-0.85,23.94,41.65,150.0,210.04,0.0
34742498,-4.7,-0.83,-0.39,15.96,200.0,210.04,0.0
34934199,-4.53,-0.85,-0.54,15.96,200.0,210.04,0.0
35106009,-4.05,-1.22,-0.65,15.96,200.0,210.04,0.0
35172802,-4.05,-0.54,-0.37,10.0,205.0,210.04,0.0
35301759,-2.82,-1.08,23.94,40.0,150.0,210.04,0.0
35908558,-1.22,-0.81,2.07,10.0,200.0,210.04,0.0
35938397,-1.22,-0.39,20.0,41.65,150.0,210.04,0.0
36014371,-1.08,-0.83,20.0,25.0,166.95,210.04,0.0
36468127,-0.65,-0.37,2.07,3.99,205.0,210.04,0.0
36546937,-0.54,3.99,23.94,68.0,114.65,210.04,0.0
